id,number,name,type,zone,from_station_code,from_station_name,to_station_code,to_station_name,departure,arrival,duration,number_of_halts,distance,departure_days,sunday,monday,tuesday,wednesday,thursday,friday,saturday,classes,first_ac,second_ac,third_ac,first_class,sleeper,chair_car,second_sitting,return_train,date_from,date_to
1262,13115,"Sealdah-RampurHat Intercity Express",Exp,ER,SDAH,"Kolkata Sealdah",RPH,"Rampur Hat",12:55,16:55,"4h 0m",4,"213 km",S-T-T--,1,0,1,0,1,0,0,2S,0,0,0,0,0,0,1,13116,,
1263,13116,"Rampur Hat-Sealdah Intercity Express",Exp,ER,RPH,"Rampur Hat",SDAH,"Kolkata Sealdah",10:20,14:20,"4h 0m",4,"213 km",-M-W-F-,0,1,0,1,0,1,0,2S,0,0,0,0,0,0,1,13115,,
1264,13117,"Kolkata Berhampore Court Express",Exp,ER,KOAA,"Kolkata Chitpur",BPC,"Berhampore Court",20:30,00:20,"3h 50m",6,"182 km",S-T-T--,1,0,1,0,1,0,0,"2S CC",0,0,0,0,0,1,1,13118,,
1265,13118,"Berhampore Court Kolkata Express",Exp,ER,BPC,"Berhampore Court",KOAA,"Kolkata Chitpur",07:20,11:35,"4h 15m",6,"182 km",-M-W-F-,0,1,0,1,0,1,0,"2S CC",0,0,0,0,0,1,1,13117,,
1266,13133,"Sealdah-Varanasi Express",Exp,ER,SDAH,"Kolkata Sealdah",BSB,"Varanasi Junction",21:15,21:40,"24h 25m",76,"871 km",SMTWTFS,1,1,1,1,1,1,1,SL,0,0,0,0,1,0,0,13134,,
1267,13134,"Varanasi- Sealdah Express",Exp,ER,BSB,"Varanasi Junction",SDAH,"Kolkata Sealdah",08:40,10:55,"26h 15m",76,"871 km",SMTWTFS,1,1,1,1,1,1,1,SL,0,0,0,0,1,0,0,13133,,
1268,13141,"Testa Torsa Express",Exp,ER,SDAH,"Kolkata Sealdah",NOQ,"New Alipurduar",13:40,07:15,"17h 35m",32,"716 km",SMTWTFS,1,1,1,1,1,1,1,"SL 3A 2A",0,1,1,0,1,0,0,13142,,
1269,13141-Slip,"Testa Torsa Express Slip",Exp,ER,SDAH,"Kolkata Sealdah",HDB,Haldibari,13:40,05:05,"15h 25m",27,"628 km",S-TWTFS,1,0,1,1,1,1,1,"SL 3A 2A",0,1,1,0,1,0,0,,,
1270,13142,"Teesta Torsa Express",Exp,ER,NOQ,"New Alipurduar",SDAH,"Kolkata Sealdah",11:45,04:35,"16h 50m",32,"716 km",SMTWTFS,1,1,1,1,1,1,1,"SL 3A 2A",0,1,1,0,1,0,0,13141,,
1271,13145,"Radhikapur Express",Exp,ER,KOAA,"Kolkata Chitpur",RDP,Radhikapur,19:30,06:50,"11h 20m",14,"476 km",SMTWTFS,1,1,1,1,1,1,1,"SL 3A 2A",0,1,1,0,1,0,0,13146,,
1272,13146,"Radhikapur Express",Exp,ER,RDP,Radhikapur,KOAA,"Kolkata Chitpur",17:50,05:35,"11h 45m",14,"476 km",SMTWTFS,1,1,1,1,1,1,1,"SL 3A 2A",0,1,1,0,1,0,0,13145,,
1273,13147,"Uttar Banga Express",Exp,ER,SDAH,"Kolkata Sealdah",NCB,"New Cooch Behar",19:35,09:25,"13h 50m",18,"693 km",SMTWTFS,1,1,1,1,1,1,1,"SL 3A 2A",0,1,1,0,1,0,0,13148,,
1274,13148,"Uttar Banga Express",Exp,ER,NCB,"New Cooch Behar",SDAH,"Kolkata Sealdah",15:15,05:10,"13h 55m",18,"693 km",SMTWTFS,1,1,1,1,1,1,1,"SL 3A 2A",0,1,1,0,1,0,0,13147,,
1275,13149,"Kanchan Kanya Express",Exp,ER,SDAH,"Kolkata Sealdah",APDJ,"Alipur Duar Junction",20:30,12:10,"15h 40m",23,"735 km",SMTWTFS,1,1,1,1,1,1,1,"SL 3A 2A",0,1,1,0,1,0,0,13150,,
1276,13150,"Kanchan Kanya Express",Exp,ER,APDJ,"Alipur Duar Junction",SDAH,"Kolkata Sealdah",16:45,08:15,"15h 30m",23,"735 km",SMTWTFS,1,1,1,1,1,1,1,"SL 3A 2A",0,1,1,0,1,0,0,13149,,
1277,13151,"Kolkata Chitpur-JammuTawi Express",Exp,ER,KOAA,"Kolkata Chitpur",JAT,"Jammu Tawi",11:45,08:30,"44h 45m",92,"1982 km",SMTWTFS,1,1,1,1,1,1,1,"SL 3A 2A",0,1,1,0,1,0,0,13152,,
1278,13152,"JammuTawi-Kolkata Chitpur Express",Exp,ER,JAT,"Jammu Tawi",KOAA,"Kolkata Chitpur",19:00,15:50,"44h 50m",94,"1982 km",SMTWTFS,1,1,1,1,1,1,1,"SL 3A 2A",0,1,1,0,1,0,0,13151,,
1279,13153,"Sealdah-Malda Town Gour Express",Exp,ER,SDAH,"Kolkata Sealdah",MLDT,"Malda Town",22:15,06:15,"8h 0m",12,"347 km",SMTWTFS,1,1,1,1,1,1,1,"SL 3A 2A 1A",1,1,1,0,1,0,0,13154,,
1280,13153-Slip,"Gour Express Slip",Exp,ER,SDAH,"Kolkata Sealdah",BLGT,Balurghat,22:15,09:40,"11h 25m",25,"454 km",S-TWTFS,1,0,1,1,1,1,1,"SL 3A",0,0,1,0,1,0,0,,,
1281,13154,"Malda Town-Sealdah Gour Express",Exp,ER,MLDT,"Malda Town",SDAH,"Kolkata Sealdah",21:35,05:20,"7h 45m",13,"347 km",SMTWTFS,1,1,1,1,1,1,1,"SL 3A 2A 1A",1,1,1,0,1,0,0,13153,,
1282,13155,"Mithilanchal Express",Exp,ER,KOAA,"Kolkata Chitpur",DBG,"Darbhanga Junction",20:55,09:10,"12h 15m",11,"552 km",S---T--,1,0,0,0,1,0,0,"SL 3A",0,0,1,0,1,0,0,13156,,
1283,13156,"Mithilanchal Express",Exp,ER,DBG,"Darbhanga Junction",KOAA,"Kolkata Chitpur",14:45,03:45,"13h 0m",12,"553 km",-M---F-,0,1,0,0,0,1,0,"SL 3A",0,0,1,0,1,0,0,13155,,
1284,13157,"Tirhut Express",Exp,ER,KOAA,"Kolkata Chitpur",MFP,"Muzaffarpur Junction",20:55,09:15,"12h 20m",11,"566 km",--T----,0,0,1,0,0,0,0,"SL 3A",0,0,1,0,1,0,0,13158,,
1285,13158,"Tirhut Express",Exp,ER,MFP,"Muzaffarpur Junction",KOAA,"Kolkata Chitpur",14:50,03:45,"12h 55m",11,"566 km",---W---,0,0,0,1,0,0,0,"SL 3A",0,0,1,0,1,0,0,13157,,
1286,13159,"Kolkata - Jogbani (Triweekly) Express",Exp,ER,KOAA,"Kolkata Chitpur",JBN,Jogbani,20:55,11:15,"14h 20m",9,"542 km",-M-W-F-,0,1,0,1,0,1,0,"SL 3A 2A",0,1,1,0,1,0,0,13160,,
1287,13160,"Jogbani Kolkata Express",Exp,ER,JBN,Jogbani,KOAA,"Kolkata Chitpur",14:35,03:45,"13h 10m",8,"542 km",--T-T-S,0,0,1,0,1,0,1,"SL 3A 2A",0,1,1,0,1,0,0,13159,,
1288,13161,"Tebhaga Express",Exp,ER,KOAA,"Kolkata Chitpur",BLGT,Balurghat,12:55,22:05,"9h 10m",8,"438 km",-M-W-F-,0,1,0,1,0,1,0,2S,0,0,0,0,0,0,1,13162,,
1289,13162,"Tebhaga Express",Exp,ER,BLGT,Balurghat,KOAA,"Kolkata Chitpur",05:35,14:25,"8h 50m",8,"437 km",--T-T-S,0,0,1,0,1,0,1,2S,0,0,0,0,0,0,1,13161,,
1290,13163,"Hatey Bazare Express",Exp,ER,SDAH,"Kolkata Sealdah",SHC,"Saharsa Junction",20:10,12:15,"16h 5m",28,"589 km",SMTWTFS,1,1,1,1,1,1,1,"SL 3A 2A",0,1,1,0,1,0,0,13164,,
1291,13164,"Hatey Bazare Express",Exp,ER,SHC,"Saharsa Junction",SDAH,"Kolkata Sealdah",14:20,07:15,"16h 55m",28,"589 km",SMTWTFS,1,1,1,1,1,1,1,"SL 3A 2A",0,1,1,0,1,0,0,13163,,
1292,13185,"Ganga Sagar Express",Exp,ER,SDAH,"Kolkata Sealdah",JYG,Jaynagar,15:40,07:55,"16h 15m",20,"624 km",SMTWTFS,1,1,1,1,1,1,1,"SL 3A 2A",0,1,1,0,1,0,0,13186,,
1293,13186,"Ganga Sagar Express",Exp,ER,JYG,Jaynagar,SDAH,"Kolkata Sealdah",16:05,06:55,"14h 50m",19,"624 km",SMTWTFS,1,1,1,1,1,1,1,"SL 3A 2A",0,1,1,0,1,0,0,13185,,
1294,13187,"Maa Tara Express",Exp,ER,SDAH,"Kolkata Sealdah",RPH,"Rampur Hat",07:25,12:15,"4h 50m",7,"226 km",-MTWTFS,0,1,1,1,1,1,1,"2S CC",0,0,0,0,0,1,1,13188,,
1295,13188,"Rampurhat- Sealdah Express",Exp,ER,RPH,"Rampur Hat",SDAH,"Kolkata Sealdah",14:05,18:45,"4h 40m",7,"226 km",-MTWTFS,0,1,1,1,1,1,1,"2S CC",0,0,0,0,0,1,1,13187,,
1296,13201,"Patna RajendraNagar-Mumbai LTT Express",Exp,ECR,RJPB,"Rajendra Nagar Bihar",LTT,"Mumbai Lokmanya Tilak Terminus",23:30,11:30,"36h 0m",63,"1715 km",SMTWTFS,1,1,1,1,1,1,1,"SL 3A 2A",0,1,1,0,1,0,0,13202,,
1297,13202,"Mumbai LTT-Patna RajendraNagar Express",Exp,ECR,LTT,"Mumbai Lokmanya Tilak Terminus",RJPB,"Rajendra Nagar Bihar",22:15,09:55,"35h 40m",61,"1715 km",SMTWTFS,1,1,1,1,1,1,1,"SL 3A 2A",0,1,1,0,1,0,0,13201,,
1298,13225,"Jaynagar-Danapur Intercity",Exp,ECR,JYG,Jaynagar,DNR,Danapur,10:45,20:40,"9h 55m",20,"277 km",-MTWTFS,0,1,1,1,1,1,1,"2S CC",0,0,0,0,0,1,1,13226,,
1299,13226,"Danapur-Jaynagar Intercity",Exp,ECR,DNR,Danapur,JYG,Jaynagar,06:45,15:00,"8h 15m",20,"277 km",-MTWTFS,0,1,1,1,1,1,1,"2S CC",0,0,0,0,0,1,1,13225,,
1300,13233,"Rajgriha Express",Exp,ECR,RGD,Rajgir,DNR,Danapur,14:40,18:05,"3h 25m",13,"109 km",SMTWTFS,1,1,1,1,1,1,1,CC,0,0,0,0,0,1,0,13234,,
1301,13234,"Rajgriha Express",Exp,ECR,DNR,Danapur,RGD,Rajgir,08:45,12:30,"3h 45m",13,"109 km",SMTWTFS,1,1,1,1,1,1,1,CC,0,0,0,0,0,1,0,13233,,
1302,13235,"Sahibganj-Danapur InterCity",Exp,ECR,SBG,"Sahibganj Junction",DNR,Danapur,14:25,23:37,"9h 12m",25,"306 km",-MTWTFS,0,1,1,1,1,1,1,CC,0,0,0,0,0,1,0,13236,,
1303,13236,"Danapur-Sahibganj InterCity",Exp,ECR,DNR,Danapur,SBG,"Sahibganj Junction",05:05,13:05,"8h 0m",27,"306 km",-MTWTFS,0,1,1,1,1,1,1,CC,0,0,0,0,0,1,0,13235,,
1304,13237,"Patna Mathura Express",Exp,ECR,PNBE,"Patna Junction",MTJ,"Mathura Junction",11:50,07:20,"19h 30m",15,"938 km",S-T---S,1,0,1,0,0,0,1,"SL 3A 2A",0,1,1,0,1,0,0,13238,,
1305,13238,"Mathura Patna Express",Exp,ECR,MTJ,"Mathura Junction",PNBE,"Patna Junction",22:00,17:20,"19h 20m",16,"936 km",S---TF-,1,0,0,0,1,1,0,"SL 3A 2A",0,1,1,0,1,0,0,13237,,
1306,13239,"Patna Mathura Express",Exp,ECR,PNBE,"Patna Junction",MTJ,"Mathura Junction",11:50,07:20,"19h 30m",10,"895 km",-M-WTF-,0,1,0,1,1,1,0,"SL 3A 2A",0,1,1,0,1,0,0,13238,,
1307,13240,"Mathura Patna Express",Exp,ECR,MTJ,"Mathura Junction",PNBE,"Patna Junction",22:00,17:20,"19h 20m",10,"895 km",-MTW--S,0,1,1,1,0,0,1,"SL 3A 2A",0,1,1,0,1,0,0,13239,,
1308,13241,"Banka Patna Express",Exp,ECR,BAKA,Banka,RJPB,"Rajendra Nagar Bihar",07:30,15:15,"7h 45m",16,"272 km",-MTWTFS,0,1,1,1,1,1,1,"SL 3A",0,0,1,0,1,0,0,13242,,
1309,13242,"Patna Banka Express",Exp,ECR,RJPB,"Rajendra Nagar Bihar",BAKA,Banka,23:25,06:50,"7h 25m",16,"272 km",SMTWTF-,1,1,1,1,1,1,0,"SL 3A",0,0,1,0,1,0,0,13241,,
1310,13243,"Patna Dehri On Sone InterCity Express",Exp,ECR,PNBE,"Patna Junction",DOS,"Dehri On Sone",17:30,22:25,"4h 55m",18,"177 km",SMTWTFS,1,1,1,1,1,1,1,CC,0,0,0,0,0,1,0,13244,,
1311,13244,"Dehri On Sone Patna InterCity Express",Exp,ECR,DOS,"Dehri On Sone",PNBE,"Patna Junction",05:20,10:00,"4h 40m",18,"177 km",SMTWTFS,1,1,1,1,1,1,1,CC,0,0,0,0,0,1,0,13243,,
1312,13245,"Capital Express",Exp,ECR,NJP,"New Jalpaiguri",DNR,Danapur,14:40,04:50,"14h 10m",33,"501 km",SM----S,1,1,0,0,0,0,1,"SL 3A 2A",0,1,1,0,1,0,0,13246,,
1313,13246,"Capital Express",Exp,ECR,DNR,Danapur,NJP,"New Jalpaiguri",22:15,12:20,"14h 5m",33,"501 km",----TFS,0,0,0,0,1,1,1,"SL 3A 2A",0,1,1,0,1,0,0,13245,,
1314,13247,"Capital Express",Exp,ECR,KYQ,Kamakhya,DNR,Danapur,05:00,04:50,"23h 50m",41,"980 km",--TWTF-,0,0,1,1,1,1,0,"SL 3A 2A",0,1,1,0,1,0,0,13248,,
1315,13248,"Capital Express",Exp,ECR,DNR,Danapur,KYQ,Kamakhya,22:15,21:05,"22h 50m",42,"980 km",SMTW---,1,1,1,1,0,0,0,"SL 3A 2A",0,1,1,0,1,0,0,13247,,
1316,13251,"Islampur Rajendra Nagar Express",Exp,ECR,IPR,Islampur,RJPB,"Rajendra Nagar Bihar",10:45,13:00,"2h 15m",5,"63 km",SMTWTFS,1,1,1,1,1,1,1,"SL 3A 2A",0,1,1,0,1,0,0,13252,,
1317,13252,"Rajendra Nagar Islampur Express",Exp,ECR,RJPB,"Rajendra Nagar Bihar",IPR,Islampur,08:00,10:00,"2h 0m",5,"63 km",SMTWTFS,1,1,1,1,1,1,1,"SL 3A 2A",0,1,1,0,1,0,0,13251,,
1318,13287,"South Bihar Express",Exp,ECR,DURG,"Durg Junction",DNR,Danapur,07:05,07:55,"24h 50m",51,"1130 km",SMTWTFS,1,1,1,1,1,1,1,"SL 3A 2A",0,1,1,0,1,0,0,13288,,
1319,13288,"South Bihar Express",Exp,ECR,DNR,Danapur,DURG,"Durg Junction",19:50,20:40,"24h 50m",52,"1130 km",SMTWTFS,1,1,1,1,1,1,1,"SL 3A 2A",0,1,1,0,1,0,0,13287,,
1320,13301,"Suvarna Rekha Express",Exp,ECR,DHN,"Dhanbad Junction",TATA,"Tatanagar Junction",05:35,11:15,"5h 40m",10,"193 km",SMTWTFS,1,1,1,1,1,1,1,"2S CC",0,0,0,0,0,1,1,13302,,
1321,13302,"Suvarna Rekha Express",Exp,ECR,TATA,"Tatanagar Junction",DHN,"Dhanbad Junction",13:20,18:45,"5h 25m",9,"193 km",SMTWTFS,1,1,1,1,1,1,1,"2S CC",0,0,0,0,0,1,1,13301,,
1322,13303,"Dhanbad Ranchi InterCity Express",Exp,ECR,DHN,"Dhanbad Junction",RNC,"Ranchi Junction",05:40,10:05,"4h 25m",6,"162 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,13304,,
1323,13304,"Dhanbad InterCity Express",Exp,ECR,RNC,"Ranchi Junction",DHN,"Dhanbad Junction",18:15,22:25,"4h 10m",4,"162 km",SMTWTFS,1,1,1,1,1,1,1,2S,0,0,0,0,0,0,1,13303,,
1324,13305,"Dhanbad-Gaya InterCity",Exp,ECR,DHN,"Dhanbad Junction",GAYA,"Gaya Junction",06:10,09:35,"3h 25m",6,"199 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,13306,,
1325,13306,"Gaya-Dhanbad InterCity",Exp,ECR,GAYA,"Gaya Junction",DHN,"Dhanbad Junction",17:45,21:20,"3h 35m",6,"199 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,13305,,
1326,13307,"Ganga Sutlej Express",Exp,ECR,DHN,"Dhanbad Junction",FZR,"Firozpur Cantt.",21:20,10:20,"37h 0m",70,"1599 km",SMTWTFS,1,1,1,1,1,1,1,"SL 3A 2A",0,1,1,0,1,0,0,13308,,
1327,13308,"Ganga Sutlej Express",Exp,ECR,FZR,"Firozpur Cantt.",DHN,"Dhanbad Junction",18:25,04:55,"34h 30m",67,"1599 km",SMTWTFS,1,1,1,1,1,1,1,"SL 3A 2A",0,1,1,0,1,0,0,13307,,
1328,13317,"Black Diamond Express",Exp,ECR,HWH,"Kolkata Howrah Junction",DHN,"Dhanbad Junction",06:15,11:10,"4h 55m",14,"271 km",SMTWTFS,1,1,1,1,1,1,1,"2S CC",0,0,0,0,0,1,1,13318,,
1329,13318,"Black Diamond Express",Exp,ECR,DHN,"Dhanbad Junction",HWH,"Kolkata Howrah Junction",16:25,21:25,"5h 0m",14,"271 km",SMTWTFS,1,1,1,1,1,1,1,"2S CC",0,0,0,0,0,1,1,13317,,
1330,13319,"Baidyanthdham-Ranchi Express",Exp,ECR,BDME,"Baidyanathdham Deoghar",RNC,"Ranchi Junction",05:00,12:40,"7h 40m",13,"328 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,13320,,
1331,13320,"Ranchi-Baidyanathdham Express",Exp,ECR,RNC,"Ranchi Junction",BDME,"Baidyanathdham Deoghar",13:25,21:40,"8h 15m",16,"333 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,13319,,
1332,13329,"Ganga Damodar Express",Exp,ECR,DHN,"Dhanbad Junction",PNBE,"Patna Junction",23:10,05:15,"6h 5m",9,"291 km",SMTWTFS,1,1,1,1,1,1,1,"SL 3A 2A",0,1,1,0,1,0,0,13330,,
1333,13330,"Ganga Damodar Express",Exp,ECR,PNBE,"Patna Junction",DHN,"Dhanbad Junction",23:30,05:20,"5h 50m",9,"291 km",SMTWTFS,1,1,1,1,1,1,1,"SL 3A 2A",0,1,1,0,1,0,0,13329,,
1334,13331,"Dhanbad Patna Express",Exp,ECR,DHN,"Dhanbad Junction",PNBE,"Patna Junction",08:30,17:10,"8h 40m",14,"373 km",-MTWTFS,0,1,1,1,1,1,1,"SL 3A 2A",0,1,1,0,1,0,0,13332,,
1335,13332,"Patna Dhanbad Express",Exp,ECR,PNBE,"Patna Junction",DHN,"Dhanbad Junction",08:40,16:30,"7h 50m",14,"373 km",-MTWTFS,0,1,1,1,1,1,1,"SL 3A 2A",0,1,1,0,1,0,0,13331,,
1336,13345,"Varanasi-Singrauli Intercity",Exp,ECR,BSB,"Varanasi Junction",SGRL,Singrauli,15:10,21:05,"5h 55m",3,"209 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,13346,,
1337,13346,"Singrauli-Varanasi Intercity",Exp,ECR,SGRL,Singrauli,BSB,"Varanasi Junction",06:15,12:50,"6h 35m",3,"209 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,13345,,
1338,13347,"Palamau Express",Exp,ECR,BRKA,"Barkakana Junction",PNBE,"Patna Junction",17:20,04:40,"11h 20m",29,"494 km",SMTWTFS,1,1,1,1,1,1,1,SL,0,0,0,0,1,0,0,13348,,
1339,13348,"Palamau Express",Exp,ECR,PNBE,"Patna Junction",BRKA,"Barkakana Junction",21:15,10:05,"12h 50m",28,"494 km",SMTWTFS,1,1,1,1,1,1,1,SL,0,0,0,0,1,0,0,13347,,
1340,13348-Slip,"Palamau Express Slip Slip",Exp,?,PNBE,"Patna Junction",SGRL,Singrauli,21:15,10:40,"13h 25m",26,"481 km",SMTWTFS,1,1,1,1,1,1,1,"SL 3A",0,0,1,0,1,0,0,,,
1341,13351,"Dhanbad-Alappuzha(Allepey) Express",Exp,ECR,DHN,"Dhanbad Junction",ALLP,Alappuzha,10:50,20:25,"57h 35m",92,"2536 km",SMTWTFS,1,1,1,1,1,1,1,"SL 3A 2A",0,1,1,0,1,0,0,13352,,
1342,13352,"Alappuzha(Allepey) -Dhanbad Express",Exp,ECR,ALLP,Alappuzha,DHN,"Dhanbad Junction",06:00,13:15,"55h 15m",92,"2536 km",SMTWTFS,1,1,1,1,1,1,1,"SL 3A 2A",0,1,1,0,1,0,0,13351,,
1343,13352-Slip,"Alappuzha Dhanbad Tatanagar Express Slip",Exp,ECR,ALLP,Alappuzha,TATA,"Tatanagar Junction",06:00,09:10,"51h 10m",89,"2359 km",SMTWTFS,1,1,1,1,1,1,1,"SL 3A 2A",0,1,1,0,1,0,0,,,
1344,13401,"InterCity Express",Exp,ER,BGP,Bhagalpur,DNR,Danapur,05:25,12:15,"6h 50m",25,"231 km",-MTWTFS,0,1,1,1,1,1,1,"2S CC",0,0,0,0,0,1,1,13402,,
1345,13402,"InterCity Express",Exp,ER,DNR,Danapur,BGP,Bhagalpur,16:15,22:40,"6h 25m",25,"231 km",-MTWTFS,0,1,1,1,1,1,1,"2S CC",0,0,0,0,0,1,1,13401,,
1346,13403,"Vananchal Express",Exp,ER,RNC,"Ranchi Junction",BGP,Bhagalpur,14:45,05:15,"14h 30m",22,"558 km",SMTWTFS,1,1,1,1,1,1,1,"SL 3A",0,0,1,0,1,0,0,13404,,
1347,13404,"Vananchal Express",Exp,ER,BGP,Bhagalpur,RNC,"Ranchi Junction",15:30,05:15,"13h 45m",22,"561 km",SMTWTFS,1,1,1,1,1,1,1,"SL 3A",0,0,1,0,1,0,0,13403,,
1348,13409,"InterCity Express",Exp,ER,MLDT,"Malda Town",BGP,Bhagalpur,05:40,10:15,"4h 35m",10,"178 km",-MTWTFS,0,1,1,1,1,1,1,2S,0,0,0,0,0,0,1,13410,,
1349,13410,"InterCity Express",Exp,ER,BGP,Bhagalpur,MLDT,"Malda Town",16:40,21:00,"4h 20m",10,"178 km",-MTWTFS,0,1,1,1,1,1,1,2S,0,0,0,0,0,0,1,13409,,
1350,13413,"Farakka Express",Exp,ER,MLDT,"Malda Town",DLI,"Old Delhi",19:10,04:30,"33h 20m",59,"1416 km",-M--T-S,0,1,0,0,1,0,1,"SL 3A 2A",0,1,1,0,1,0,0,13414,,
1351,13414,"Farakka Express",Exp,ER,DLI,"Old Delhi",MLDT,"Malda Town",21:50,07:20,"33h 30m",55,"1416 km",-M-W--S,0,1,0,1,0,0,1,"SL 3A 2A",0,1,1,0,1,0,0,13413,,
1352,13415,"Malda Patna Express",Exp,ER,MLDT,"Malda Town",PNBE,"Patna Junction",20:30,05:30,"9h 0m",15,"399 km",S--W-F-,1,0,0,1,0,1,0,"SL 3A 2A",0,1,1,0,1,0,0,13416,,
1353,13416,"Patna-Malda Express",Exp,ER,PNBE,"Patna Junction",MLDT,"Malda Town",21:45,08:20,"10h 35m",15,"399 km",-M--T-S,0,1,0,0,1,0,1,"SL 3A 2A",0,1,1,0,1,0,0,13415,,
1354,13419,"Jan Sewa Express",Exp,ER,BGP,Bhagalpur,MFP,"Muzaffarpur Junction",14:05,20:50,"6h 45m",14,"240 km",SMTWTFS,1,1,1,1,1,1,1,SL,0,0,0,0,1,0,0,13420,,
1355,13420,"Jan Sewa Express",Exp,ER,MFP,"Muzaffarpur Junction",BGP,Bhagalpur,23:05,05:55,"6h 50m",15,"240 km",SMTWTFS,1,1,1,1,1,1,1,SL,0,0,0,0,1,0,0,13419,,
1356,13421,"Nabadwipdham Malda Express",Exp,ER,NDAE,"Nabadwip Dham",MLDT,"Malda Town",04:30,09:30,"5h 0m",9,"226 km",SMTWTFS,1,1,1,1,1,1,1,2S,0,0,0,0,0,0,1,13422,,
1357,13422,"Malda Nabadwipdham Express",Exp,ER,MLDT,"Malda Town",NDAE,"Nabadwip Dham",15:50,21:00,"5h 10m",9,"226 km",SMTWTFS,1,1,1,1,1,1,1,2S,0,0,0,0,0,0,1,13421,,
1358,13465,"InterCity Express",Exp,ER,HWH,"Kolkata Howrah Junction",MLDT,"Malda Town",15:15,22:20,"7h 5m",11,"331 km",-MTWTFS,0,1,1,1,1,1,1,"2S CC",0,0,0,0,0,1,1,13466,,
1359,13466,"InterCity Express",Exp,ER,MLDT,"Malda Town",HWH,"Kolkata Howrah Junction",06:10,12:50,"6h 40m",11,"331 km",-MTWTFS,0,1,1,1,1,1,1,"2S CC",0,0,0,0,0,1,1,13465,,
1360,13483,"Farakka Express",Exp,ER,MLDT,"Malda Town",DLI,"Old Delhi",19:10,04:30,"33h 20m",61,"1456 km",S-TW-F-,1,0,1,1,0,1,0,"SL 3A 2A",0,1,1,0,1,0,0,13484,,
1361,13484,"Farakka Express",Exp,ER,DLI,"Old Delhi",MLDT,"Malda Town",21:50,07:20,"33h 30m",57,"1456 km",S-T-TF-,1,0,1,0,1,1,0,"SL 3A 2A",0,1,1,0,1,0,0,13483,,
1362,13501,"Haldia-Asansol Express",Exp,ER,HLZ,Haldia,ASN,"Asansol Junction",14:10,20:35,"6h 25m",16,"322 km",-MTWTFS,0,1,1,1,1,1,1,"",0,0,0,0,0,0,0,13502,,
1363,13502,"Asansol Haldia Express",Exp,ER,ASN,"Asansol Junction",HLZ,Haldia,05:40,12:10,"6h 30m",16,"322 km",-MTWTFS,0,1,1,1,1,1,1,"",0,0,0,0,0,0,0,13501,,
1364,13503,"Sealdah-Asansol InterCity Express",Exp,ER,SDAH,"Kolkata Sealdah",ASN,"Asansol Junction",16:40,20:55,"4h 15m",6,"220 km",-MTWTFS,0,1,1,1,1,1,1,2S,0,0,0,0,0,0,1,13504,,
1365,13504,"Asansol-Sealdah InterCity Express",Exp,ER,ASN,"Asansol Junction",SDAH,"Kolkata Sealdah",06:35,10:45,"4h 10m",6,"220 km",-MTWTFS,0,1,1,1,1,1,1,2S,0,0,0,0,0,0,1,13503,,
1366,13506,"Asansol Digha Express",Exp,ER,ASN,"Asansol Junction",DGHA,"Digha Flag Station",05:40,13:35,"7h 55m",9,"372 km",S------,1,0,0,0,0,0,0,"",0,0,0,0,0,0,0,,,
1367,13507,"Asansol-Gorakhpur Express",Exp,ER,ASN,"Asansol Junction",GKP,"Gorakhpur Junction",16:10,06:00,"13h 50m",13,"644 km",-----F-,0,0,0,0,0,1,0,"SL 3A",0,0,1,0,1,0,0,13508,,
1368,13508,"Gorakhpur-Asansol Express",Exp,ER,GKP,"Gorakhpur Junction",ASN,"Asansol Junction",20:55,11:15,"14h 20m",13,"644 km",------S,0,0,0,0,0,0,1,"SL 3A",0,0,1,0,1,0,0,13507,,
1369,13509,"Asansol-Gonda Express",Exp,ER,ASN,"Asansol Junction",GD,"Gonda Junction",16:10,13:00,"20h 50m",18,"862 km",--T----,0,0,1,0,0,0,0,"SL 3A",0,0,1,0,1,0,0,13510,,
1370,13510,"Gonda-Asansol Express",Exp,ER,GD,"Gonda Junction",ASN,"Asansol Junction",15:00,11:15,"20h 15m",18,"862 km",---W---,0,0,0,1,0,0,0,"SL 3A",0,0,1,0,1,0,0,13509,,
1371,14001,"Delhi Attari Express",Exp,NR,DLI,"Old Delhi",ATT,Attari,23:05,07:15,"8h 10m",0,"472 km",S--W---,1,0,0,1,0,0,0,"SL 3A",0,0,1,0,1,0,0,14002,,
1372,14002,"Attari Delhi Express",Exp,NR,ATT,Attari,DLI,"Old Delhi",20:15,03:20,"7h 5m",0,"472 km",-M--T--,0,1,0,0,1,0,0,"2S SL 3A",0,0,1,0,1,0,1,14001,,
